nmmunicipiocredor,nmfuncao,vlempenhado,vlliquidado,vlpagoorcamentario,valor_total
ITUPORANGA,Saúde,0.0,731000.0,736500.0,1467500.0
ITUPORANGA,Transporte,0.0,0.0,0.0,0.0
JABORA,Agricultura,-150000.0,450000.0,450000.0,750000.0
JABORA,Educação,0.0,0.0,0.0,0.0
JABORA,Saúde,0.0,0.0,0.0,0.0
JACINTO MACHADO,Agricultura,0.0,500000.0,500000.0,1000000.0
JACINTO MACHADO,Comércio e Serviços,0.0,300000.0,300000.0,600000.0
JACINTO MACHADO,Educação,0.0,0.0,0.0,0.0
JACINTO MACHADO,Saúde,0.0,100000.0,0.0,100000.0
JACINTO MACHADO,Transporte,0.0,1500000.0,1500000.0,3000000.0
JAGUARUNA,Educação,0.0,20750.0,20750.0,41500.0
JAGUARUNA,Gestão Ambiental,0.0,0.0,0.0,0.0
JAGUARUNA,Saúde,0.0,1564856.0,1572365.0,3137221.0
JAGUARUNA,Transporte,0.0,5150000.0,5150000.0,10300000.0
JARAGUA DO SUL,Educação,0.0,1637532.0,1637532.0,3275064.0
JARAGUA DO SUL,Saúde,0.0,2504000.0,2299216.0,4803216.0
JARDINOPOLIS,Agricultura,-300000.0,1300000.0,1300000.0,2300000.0
JARDINOPOLIS,Educação,0.0,0.0,0.0,0.0
JARDINOPOLIS,Saúde,0.0,0.0,0.0,0.0
JOACABA,Agricultura,-300000.0,300000.0,300000.0,300000.0
JOACABA,Educação,0.0,360.0,2360.0,2720.0
JOACABA,Saúde,0.0,1000000.0,1000000.0,2000000.0
JOINVILLE,Educação,0.0,185172.0,315172.0,500344.0
JOINVILLE,Gestão Ambiental,0.0,0.0,0.0,0.0
